agent_control_opportunities,agent_decision_opportunities,agent_network_emulation_application_bytes,agent_network_emulation_dropped,agent_network_emulation_messages,agent_network_emulation_modeled_transport_bytes,api_calls,api_cost_usd,api_failures,api_invalid_responses,api_latency_p50_s,api_latency_p95_s,api_latency_p99_s,api_mode,api_model,api_outage_recovery_s,api_request_application_bytes,api_response_application_bytes,api_serialized_transport_bytes_estimated,approach_wait_fairness_jain,approach_wait_lane_count,audit_log_bytes,blocked_unsafe_actions,cloud_wan_application_bytes,cloud_wan_dropped,cloud_wan_messages,cloud_wan_modeled_transport_bytes,collisions,completed_trips,controller,emergency_braking,emergency_injected,emergency_stops,emergency_trip_time_s,executed_signal_changes,executed_unsafe_actions,fallback_events,fallback_rate,false_blocks,incident_completed,inserted_vehicles,intent_age_p50_s,intent_age_p95_s,intent_age_p99_s,loaded_vehicles,local_fallback_control_rate,local_fallback_control_steps,local_process_cpu_s,local_process_rss_bytes,max_drac_mps2,max_spillback_duration_s,max_total_queue,maximum_approach_wait_s,mean_time_loss_s,measurement_interval_s,min_pet_s,min_ttc_s,network_application_bytes,network_dropped,network_messages,network_modeled_transport_bytes,network_profile,p95_time_loss_s,p95_trip_time_s,peer_network_application_bytes,peer_network_dropped,peer_network_messages,peer_network_modeled_transport_bytes,policy_check_p50_ms,policy_check_p95_ms,policy_check_p99_ms,policy_fallback_events,policy_rule_counts_minimum_green_not_met,post_5min_completed_trips,post_5min_mean_time_loss_s,post_5min_p95_time_loss_s,post_5min_p95_trip_time_s,proposed_unsafe_actions,run_id,running_vehicles_at_end,scenario,seed,ssm_conflicts,ssm_measurement_enabled,ssm_probability,ssm_unavailable_values,stale_fallback_events,stale_intents,started_utc,sumo_version,teleports,teleports_jam,teleports_wrong_lane,teleports_yield,total_policy_decisions,trips_recorded,trust_attack_opportunities,trust_attack_success_rate,trust_attack_successes,unavailable_fallback_events,unfinished_trips,unsafe_actions_per_1000_decisions,waiting_vehicles_at_end,wall_clock_s,wan_application_bytes,peer_application_bytes,communication_footprint_bytes,policy_rule_counts_maximum_approach_wait_risk
0,0,0,0,0,0,0,0.0,0,0,,,,none,,,0,0,0,0.4367836029938237,38,460839,0,0,0,0,0,0,2819,coordinated_maxpressure,0,False,0,,350,0,0,,0,True,2856,,,,2856,,0,5.510000000000001,76677120,,0,32.0,109.0,25.73949627527492,5,,,0,0,0,0,N1,80.66,136.0,0,0,0,0,,,,0,,2511,25.35098367184389,78.53,136.0,0,F1_C3_coordinated_maxpressure_4203,37,F1_C3,4203,,False,0.0,,0,0,2026-08-31T18:44:30.538702+00:00,1.27.1,0,0,0,0,0,2856,0,,0,0,37,,0,10.826603633999184,0,0,460839,
0,0,0,0,0,0,0,0.0,0,0,,,,none,,,0,0,0,0.38510783775388296,38,417025,0,0,0,0,0,0,2800,local_maxwave,1,False,1,,665,0,0,,0,True,2856,,,,2856,,0,4.57,191627264,,0,29.0,48.0,30.253592857142856,5,,,0,0,0,0,N1,110.7,154.0,0,0,0,0,,,,0,,2497,30.093908690428517,109.57,154.0,0,F1_C3_local_maxwave_4203,56,F1_C3,4203,,False,0.0,,0,0,2026-08-31T18:50:48.356858+00:00,1.27.1,0,0,0,0,0,2856,0,,0,0,56,,0,9.22440461399674,0,0,417025,
2160,93,102849,0,62,111095,31,0.01529285,0,0,1.7911674110000604,2.272300313001324,3.3891709970012016,live,gpt-5.4-nano-2026-03-17,,194608,18695,223757,0.3920180636844046,38,663080,9,0,0,0,0,0,2819,agentic_governed,0,False,0,,637,0,25,0.26881720430107525,0,True,2856,5.0,5.0,5.0,2856,0.7916666666666666,1710,7.18,189263872,,0,25.0,35.0,27.464863426747073,5,,,0,0,0,0,N1,99.99,146.0,548909,4,2880,896138,0.006031001248629764,0.013820997992297634,0.04000400076620281,25,9.0,2515,27.125224652087475,99.24,145.0,9,F1_C3_agentic_governed_4204,37,F1_C3,4204,,False,0.0,,0,0,2026-08-31T18:46:07.469255+00:00,1.27.1,0,0,0,0,93,2856,0,,0,0,37,0.0,0,67.4820172280015,213303,548909,1425292,
2160,93,76818,0,62,85016,31,0.01355235,0,0,1.6754679799996666,2.5546985100008897,3.0879099129997485,live,gpt-5.4-nano-2026-03-17,,166497,18295,194526,0.37155984622738236,38,628995,0,0,0,0,0,0,2814,agentic_governed_no_peer,0,False,0,,647,0,1,0.010752688172043012,0,True,2855,5.0,5.0,5.0,2856,0.7194444444444444,1554,7.549999999999999,187674624,,0,23.0,49.0,29.517533759772565,5,,,0,0,0,0,N1,105.11,152.0,0,0,0,0,0.005956000677542761,0.013538996427087113,0.018456001271260902,1,,2510,29.427637450199203,104.65,152.0,0,F1_C3_agentic_governed_no_peer_4204,41,F1_C3,4204,,False,0.0,,0,0,2026-08-31T18:44:41.635011+00:00,1.27.1,0,0,0,0,93,2855,0,,0,0,41,0.0,1,65.40769752999768,184792,0,813787,
0,0,0,0,0,0,0,0.0,0,0,,,,none,,,0,0,0,0.42291199787360745,38,460840,0,0,0,0,0,0,2810,coordinated_maxpressure,0,False,0,,344,0,0,,0,True,2856,,,,2856,,0,5.510000000000005,190083072,,0,23.0,96.0,27.400918149466193,5,,,0,0,0,0,N1,101.85,150.0,0,0,0,0,,,,0,,2503,25.263335996803836,87.49,140.0,0,F1_C3_coordinated_maxpressure_4204,46,F1_C3,4204,,False,0.0,,0,0,2026-08-31T18:49:34.359385+00:00,1.27.1,0,0,0,0,0,2856,0,,0,0,46,,0,10.785089607998088,0,0,460840,
0,0,0,0,0,0,0,0.0,0,0,,,,none,,,0,0,0,0.37155984622738236,38,417079,0,0,0,0,0,0,2814,local_maxwave,0,False,0,,647,0,0,,0,True,2855,,,,2856,,0,5.310000000000002,191619072,,0,23.0,49.0,29.517533759772565,5,,,0,0,0,0,N1,105.11,152.0,0,0,0,0,,,,0,,2510,29.427637450199203,104.65,152.0,0,F1_C3_local_maxwave_4204,41,F1_C3,4204,,False,0.0,,0,0,2026-08-31T18:49:57.375433+00:00,1.27.1,0,0,0,0,0,2855,0,,0,0,41,,1,10.40972686600071,0,0,417079,
2160,93,103133,0,62,111379,31,0.0153057,0,0,1.8127797609995469,2.622995917998196,2.6846707930017146,live,gpt-5.4-nano-2026-03-17,,194689,18898,224041,0.40468681088653075,38,663992,8,0,0,0,0,0,2819,agentic_governed,1,False,1,,634,0,19,0.20430107526881722,0,True,2856,5.0,5.0,5.0,2856,0.7777777777777778,1680,7.93,187768832,,0,29.0,39.0,30.181741752394466,5,,,0,0,0,0,N1,109.97,151.0,549324,2,2880,897195,0.0068879999162163585,0.01339899972663261,0.019665996660478413,19,8.0,2515,29.905308151093443,104.47,151.0,8,F1_C3_agentic_governed_4205,37,F1_C3,4205,,False,0.0,,0,0,2026-08-31T18:44:30.739807+00:00,1.27.1,0,0,0,0,93,2856,0,,0,0,37,0.0,0,69.27949955299846,213587,549324,1426903,
2160,93,76897,0,62,85095,31,0.01357485,0,0,1.764600660000724,2.5966750140032673,4.01279222499943,live,gpt-5.4-nano-2026-03-17,,166524,18347,194605,0.38053943189245476,38,629256,0,0,0,0,0,0,2815,agentic_governed_no_peer,0,False,0,,658,0,9,0.0967741935483871,0,True,2855,5.0,5.0,5.0,2856,0.7152777777777778,1545,7.740000000000002,191803392,,0,24.0,52.0,29.808358792184723,5,,,0,0,0,0,N1,107.28,150.0,0,0,0,0,0.006123002094682306,0.014356999599840492,0.017835001926869154,9,,2511,29.498725607327753,104.31,150.0,0,F1_C3_agentic_governed_no_peer_4205,40,F1_C3,4205,,False,0.0,,0,0,2026-08-31T18:48:31.783443+00:00,1.27.1,0,0,0,0,93,2855,0,,0,0,40,0.0,1,71.22168709499965,184871,0,814127,
0,0,0,0,0,0,0,0.0,0,0,,,,none,,,0,0,0,0.4292221566833041,38,460818,0,0,0,0,0,0,2812,coordinated_maxpressure,0,False,0,,343,0,0,,0,True,2856,,,,2856,,0,5.800000000000004,191619072,,0,24.0,80.0,24.147617354196303,5,,,0,0,0,0,N1,79.77,131.0,0,0,0,0,,,,0,,2505,23.877161676646708,78.07,131.0,0,F1_C3_coordinated_maxpressure_4205,44,F1_C3,4205,,False,0.0,,0,0,2026-08-31T18:49:46.059368+00:00,1.27.1,0,0,0,0,0,2856,0,,0,0,44,,0,11.281552876000205,0,0,460818,
0,0,0,0,0,0,0,0.0,0,0,,,,none,,,0,0,0,0.38053943189245476,38,417071,0,0,0,0,0,0,2815,local_maxwave,0,False,0,,658,0,0,,0,True,2855,,,,2856,,0,4.73,77475840,,0,24.0,52.0,29.808358792184723,5,,,0,0,0,0,N1,107.28,150.0,0,0,0,0,,,,0,,2511,29.498725607327753,104.31,150.0,0,F1_C3_local_maxwave_4205,40,F1_C3,4205,,False,0.0,,0,0,2026-08-31T18:44:41.523586+00:00,1.27.1,0,0,0,0,0,2855,0,,0,0,40,,1,9.497954064001533,0,0,417071,
