scenario,controller,metric,metric_label,n_runs,estimate,ci95_low,ci95_high,summary_statistic
S0,coordinated_maxpressure,p95_time_loss_s,P95 time loss (s),20,222.235,197.5,244.47,median_of_run_values
S0,coordinated_maxpressure,p95_trip_time_s,P95 trip time (s),20,303.5,290.0,315.0,median_of_run_values
S0,coordinated_maxpressure,completed_trips,Completed trips,20,1998.8,1996.05,2001.35,mean_of_runs
S0,coordinated_maxpressure,max_total_queue,Maximum total queue,20,129.6,121.24875,138.15,mean_of_runs
S0,coordinated_maxpressure,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S0,coordinated_maxpressure,wan_application_bytes,WAN application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S0,coordinated_maxpressure,peer_application_bytes,Peer application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S0,coordinated_maxpressure,proposed_unsafe_actions,Proposed policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,coordinated_maxpressure,blocked_unsafe_actions,Blocked policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,coordinated_maxpressure,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,fixed,mean_time_loss_s,Mean time loss (s),20,48.56396782687251,48.171946538482125,48.950781783173795,mean_of_runs
S0,fixed,p95_time_loss_s,P95 time loss (s),20,128.66,125.49,131.61,median_of_run_values
S0,fixed,p95_trip_time_s,P95 trip time (s),20,246.0,242.0,247.5,median_of_run_values
S0,fixed,completed_trips,Completed trips,20,2001.95,2001.05,2002.8,mean_of_runs
S0,fixed,max_total_queue,Maximum total queue,20,67.85,66.7,68.95,mean_of_runs
S0,fixed,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S0,fixed,wan_application_bytes,WAN application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S0,fixed,peer_application_bytes,Peer application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S0,fixed,proposed_unsafe_actions,Proposed policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,fixed,blocked_unsafe_actions,Blocked policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,fixed,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,local_maxwave,mean_time_loss_s,Mean time loss (s),20,41.626252628794944,41.005967176060786,42.23060534768636,mean_of_runs
S0,local_maxwave,p95_time_loss_s,P95 time loss (s),20,122.94,121.45,128.87,median_of_run_values
S0,local_maxwave,p95_trip_time_s,P95 trip time (s),20,224.5,222.0,226.5,median_of_run_values
S0,local_maxwave,completed_trips,Completed trips,20,2013.55,2012.8,2014.25,mean_of_runs
S0,local_maxwave,max_total_queue,Maximum total queue,20,57.95,55.75,60.1,mean_of_runs
